location,iso_code,last_observation_date,vaccines
Afghanistan,AFG,14-06-2021,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech"
Albania,ALB,21-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
Algeria,DZA,06-06-2021,"Oxford/AstraZeneca, Sputnik V"
Andorra,AND,14-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech"
Angola,AGO,20-06-2021,Oxford/AstraZeneca
Anguilla,AIA,18-06-2021,Oxford/AstraZeneca
Antigua and Barbuda,ATG,17-06-2021,Oxford/AstraZeneca
Argentina,ARG,21-06-2021,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Armenia,ARM,14-06-2021,"Oxford/AstraZeneca, Sinovac, Sputnik V"
Aruba,ABW,21-06-2021,Pfizer/BioNTech
Australia,AUS,21-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech"
Austria,AUT,21-06-2021,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Azerbaijan,AZE,21-06-2021,"Oxford/AstraZeneca, Sinovac, Sputnik V"
Bahamas,BHS,19-06-2021,Oxford/AstraZeneca
Bahrain,BHR,21-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Bangladesh,BGD,20-06-2021,Oxford/AstraZeneca
Barbados,BRB,19-06-2021,Oxford/AstraZeneca
Belarus,BLR,13-06-2021,"BBIBP-CorV, Sputnik V"
Belgium,BEL,21-06-2021,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Belize,BLZ,17-06-2021,"Oxford/AstraZeneca, Sinopharm/Beijing"
Benin,BEN,08-06-2021,"Oxford/AstraZeneca, Sinovac"
Bermuda,BMU,14-06-2021,Pfizer/BioNTech
Bhutan,BTN,13-06-2021,Oxford/AstraZeneca
Bolivia,BOL,21-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Bonaire Sint Eustatius and Saba,BES,09-04-2021,"Moderna, Pfizer/BioNTech"
Bosnia and Herzegovina,BIH,13-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
Botswana,BWA,07-06-2021,Oxford/AstraZeneca
Brazil,BRA,21-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
British Virgin Islands,VGB,18-06-2021,Oxford/AstraZeneca
Brunei,BRN,19-06-2021,"Oxford/AstraZeneca, Sinopharm/Beijing"
Bulgaria,BGR,21-06-2021,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Burkina Faso,BFA,14-06-2021,Oxford/AstraZeneca
Cambodia,KHM,21-06-2021,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
Cameroon,CMR,20-06-2021,"BBIBP-CorV, Oxford/AstraZeneca"
Canada,CAN,21-06-2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Cape Verde,CPV,20-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech"
Cayman Islands,CYM,21-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech"
Central African Republic,CAF,15-06-2021,"Covaxin, Oxford/AstraZeneca"
Chad,TCD,10-06-2021,BBIBP-CorV
Chile,CHL,18-06-2021,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
China,CHN,21-06-2021,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
Colombia,COL,21-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Comoros,COM,08-06-2021,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing"
Congo,COG,20-06-2021,"BBIBP-CorV, Moderna, Oxford/AstraZeneca, Sputnik V"
Cook Islands,COK,21-06-2021,Oxford/AstraZeneca
Costa Rica,CRI,14-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech"
Cote d'Ivoire,CIV,20-06-2021,Oxford/AstraZeneca
Croatia,HRV,21-06-2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Cuba,CUB,20-06-2021,"Abdala, Soberana02"
Curacao,CUW,21-06-2021,"Moderna, Pfizer/BioNTech"
