"location","total_vaccinations","cum_total_vaccinations"
"Afghanistan","2021-02-28",8200
"Afghanistan","2021-03-16",62200
"Afghanistan","2021-04-07",182200
"Afghanistan","2021-04-22",422200
"Afghanistan","2021-05-11",926702
"Afghanistan","2021-05-20",1474603
"Afghanistan","2021-05-24",2047880
"Afghanistan","2021-05-26",2638334
"Afghanistan","2021-05-27",3231647
"Afghanistan","2021-05-30",3831799
"Afghanistan","2021-06-02",4458089
"Afghanistan","2021-06-03",5088394
"Afghanistan","2021-06-08",5729689
"Afghanistan","2021-06-14",6391692
"Albania","2021-01-12",128
"Albania","2021-01-13",316
"Albania","2021-01-14",582
"Albania","2021-01-15",890
"Albania","2021-01-16",1259
"Albania","2021-01-17",1664
"Albania","2021-01-18",2111
"Albania","2021-01-19",2594
"Albania","2021-01-20",3113
"Albania","2021-01-21",3662
"Albania","2021-02-02",4212
"Albania","2021-02-09",5339
"Albania","2021-02-17",7040
"Albania","2021-02-18",10089
"Albania","2021-02-19",14266
"Albania","2021-02-22",20994
"Albania","2021-02-25",31129
"Albania","2021-03-01",45424
"Albania","2021-03-03",61217
"Albania","2021-03-10",82830
"Albania","2021-03-12",106465
"Albania","2021-03-17",139834
"Albania","2021-03-22",188063
"Albania","2021-03-23",239753
"Albania","2021-03-24",293745
"Albania","2021-03-25",353093
"Albania","2021-03-26",415341
"Albania","2021-03-27",479416
"Albania","2021-03-28",557416
"Albania","2021-03-30",676737
"Albania","2021-03-31",815583
"Albania","2021-04-01",971046
"Albania","2021-04-02",1143532
"Albania","2021-04-03",1329028
"Albania","2021-04-04",1521910
"Albania","2021-04-05",1728618
"Albania","2021-04-06",1950206
"Albania","2021-04-07",2182585
"Albania","2021-04-08",2425127
"Albania","2021-04-09",2675803
"Albania","2021-04-10",2932613
"Albania","2021-04-12",3200144
"Albania","2021-04-13",3481360
"Albania","2021-04-15",3785848
"Albania","2021-04-16",4100470
"Albania","2021-04-17",4425310
"Albania","2021-04-18",4758215
"Albania","2021-04-19",5104149
"Albania","2021-04-20",5454149
"Albania","2021-04-21",5826224
"Albania","2021-04-22",6209222
"Albania","2021-04-23",6600573
"Albania","2021-04-24",7000637
"Albania","2021-04-26",7409256
"Albania","2021-04-27",7826111
"Albania","2021-04-28",8259739
"Albania","2021-04-29",8712987
"Albania","2021-04-30",9189890
"Albania","2021-05-01",9683918
"Albania","2021-05-03",10201419
"Albania","2021-05-04",10738806
"Albania","2021-05-05",11295390
"Albania","2021-05-06",11867616
"Albania","2021-05-07",12453309
"Albania","2021-05-08",13050075
"Albania","2021-05-09",13650075
"Albania","2021-05-10",14263034
"Albania","2021-05-11",14885541
"Albania","2021-05-12",15518217
"Albania","2021-05-13",16156555
"Albania","2021-05-14",16809885
"Albania","2021-05-17",17489968
"Albania","2021-05-18",18178915
"Albania","2021-05-19",18876726
"Albania","2021-05-20",19580469
"Albania","2021-05-21",20289315
"Albania","2021-05-23",21005931
"Albania","2021-05-24",21731066
"Albania","2021-05-26",22480052
"Albania","2021-05-27",23239095
"Albania","2021-05-30",24011299
"Albania","2021-05-31",24787760
"Albania","2021-06-01",25568102
"Albania","2021-06-03",26355423
"Albania","2021-06-06",27154047
"Albania","2021-06-07",27957729
"Albania","2021-06-08",28767721
"Albania","2021-06-09",29584277
"Albania","2021-06-10",30407330
"Albania","2021-06-11",31237611
"Albania","2021-06-12",32072479
"Albania","2021-06-13",32908909
"Albania","2021-06-14",33751444
"Albania","2021-06-15",34599874
"Albania","2021-06-16",35454101
"Albania","2021-06-17",36316729
"Albania","2021-06-20",37197641
"Albania","2021-06-21",38087693
"Algeria","2021-01-30",30
"Algeria","2021-02-19",75030
"Algeria","2021-06-06",2575030
"Andorra","2021-01-25",576
"Andorra","2021-02-01",1612
"Andorra","2021-02-10",2903
"Andorra","2021-02-12",4525
"Andorra","2021-02-19",6666
"Andorra","2021-02-24",9056
"Andorra","2021-02-26",11582
"Andorra","2021-03-08",15193
"Andorra","2021-03-10",20107
"Andorra","2021-03-15",28470
"Andorra","2021-03-19",37758
"Andorra","2021-04-04",50198
"Andorra","2021-04-05",65467
"Andorra","2021-04-11",82558
"Andorra","2021-04-12",101622
"Andorra","2021-04-19",128036
"Andorra","2021-04-26",156539
"Andorra","2021-05-03",185420
"Andorra","2021-05-10",217053
"Andorra","2021-05-17",249370
"Andorra","2021-05-31",285286
"Andorra","2021-06-07",326759
"Andorra","2021-06-14",377866
"Angola","2021-03-08",6169
"Angola","2021-03-18",55169
"Angola","2021-03-24",142191
"Angola","2021-03-29",272941
"Angola","2021-04-06",454519
"Angola","2021-04-11",699961
"Angola","2021-04-19",1095408
"Angola","2021-04-23",1551757
"Angola","2021-05-12",2178329
"Angola","2021-05-18",2859831
