"location","vaccines_name"
"Afghanistan","BBIBP-CorV"
"Afghanistan","Oxford/AstraZeneca"
"Afghanistan","Pfizer/BioNTech"
"Albania","Oxford/AstraZeneca"
"Albania","Pfizer/BioNTech"
"Albania","Sinovac"
"Albania","Sputnik V"
"Algeria","Oxford/AstraZeneca"
"Algeria","Sputnik V"
"Andorra","Oxford/AstraZeneca"
"Andorra","Pfizer/BioNTech"
"Angola","Oxford/AstraZeneca"
"Anguilla","Oxford/AstraZeneca"
"Antigua and Barbuda","Oxford/AstraZeneca"
"Argentina","Oxford/AstraZeneca"
"Argentina","Sinopharm/Beijing"
"Argentina","Sputnik V"
"Armenia","Oxford/AstraZeneca"
"Armenia","Sinovac"
"Armenia","Sputnik V"
"Aruba","Pfizer/BioNTech"
"Australia","Oxford/AstraZeneca"
"Australia","Pfizer/BioNTech"
"Austria","Johnson&Johnson"
"Austria","Moderna"
"Austria","Oxford/AstraZeneca"
"Austria","Pfizer/BioNTech"
"Azerbaijan","Oxford/AstraZeneca"
"Azerbaijan","Sinovac"
"Azerbaijan","Sputnik V"
"Bahamas","Oxford/AstraZeneca"
"Bahrain","Oxford/AstraZeneca"
"Bahrain","Pfizer/BioNTech"
"Bahrain","Sinopharm/Beijing"
"Bahrain","Sputnik V"
"Bangladesh","Oxford/AstraZeneca"
"Barbados","Oxford/AstraZeneca"
"Belarus","BBIBP-CorV"
"Belarus","Sputnik V"
"Belgium","Johnson&Johnson"
"Belgium","Moderna"
"Belgium","Oxford/AstraZeneca"
"Belgium","Pfizer/BioNTech"
"Belize","Oxford/AstraZeneca"
"Belize","Sinopharm/Beijing"
"Benin","Oxford/AstraZeneca"
"Benin","Sinovac"
"Bermuda","Pfizer/BioNTech"
"Bhutan","Oxford/AstraZeneca"
"Bolivia","Oxford/AstraZeneca"
"Bolivia","Pfizer/BioNTech"
"Bolivia","Sinopharm/Beijing"
"Bolivia","Sputnik V"
"Bonaire Sint Eustatius and Saba","Moderna"
"Bonaire Sint Eustatius and Saba","Pfizer/BioNTech"
"Bosnia and Herzegovina","Oxford/AstraZeneca"
"Bosnia and Herzegovina","Pfizer/BioNTech"
"Bosnia and Herzegovina","Sinovac"
"Bosnia and Herzegovina","Sputnik V"
"Botswana","Oxford/AstraZeneca"
"Brazil","Oxford/AstraZeneca"
"Brazil","Pfizer/BioNTech"
"Brazil","Sinovac"
"British Virgin Islands","Oxford/AstraZeneca"
"Brunei","Oxford/AstraZeneca"
"Brunei","Sinopharm/Beijing"
"Bulgaria","Johnson&Johnson"
"Bulgaria","Moderna"
